attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
,,,,,,,,,False,,,,,False,u22QDAON1kk0wjoTliyftw,,,,False,"['Pizza', 'Restaurants']",,,Latina Pizza,False,,,,,,,1,False,False,,,3,,PA,False,,False,False,True,"4426 Kennywood Blvd
West Mifflin, PA 15122",,,False,,,False,,,,False,,,True,West Mifflin,,,4.0,,business,,,40.389192,False,,-79.868305,,,,,True,False,,,,,,,,,,,,,,,casual,,True,[],,,,
False,,,,,,,,,False,False,none,False,,False,53Yk2EODWnV9qHQECzeHVQ,False,,,False,"['Pizza', 'Restaurants']",False,,Bellisario Pizza Shop,False,False,,,,,,1,False,False,,,4,,PA,,,False,False,True,"1842 Homeville Rd
West Mifflin, PA 15122",,,False,,,False,,,False,True,,no,True,West Mifflin,,,3.0,,business,,False,40.3736775,False,,-79.8737336,,,,,True,False,,,,,False,,False,,,,,,quiet,,casual,,False,[],,False,,False
False,,,,,,,,,False,False,none,False,,,iBZRphMDFcS2aMbawc1OvA,False,,,False,"['Chinese', 'Restaurants']",False,,Hunan Wok Chinese Restaurant,,False,,,,,,1,False,,,,4,,PA,False,,False,,True,"1822 Homeville Rd
West Mifflin, PA 15122",,,False,,,False,,,False,False,,no,True,West Mifflin,,,5.0,,business,False,False,40.3736775,False,,-79.8737336,,,,,True,,,,,,False,,False,,,,,,quiet,,casual,,True,[],,False,,False
False,,,,,,,,,False,False,none,False,,True,GJAv1nAfnHuab8oRyr8mXg,False,,,False,"['American (Traditional)', 'Restaurants']",True,,Eat'n Park Restaurant,False,False,,,,,,1,False,False,,,4,,PA,True,,False,False,True,"301 Chartiers Ave
McKees Rocks, PA 15136",,,False,,,False,,,False,False,,no,True,McKees Rocks,True,,4.0,,business,False,False,40.4641404,False,,-80.0579296,,,,,True,False,,,,,False,,False,,False,,,,average,,casual,,True,[],,False,,False
False,,,,,,,,,False,False,none,False,,False,mIiHJkpK8nZvW_45LlhrbA,False,,,False,"['Pizza', 'Restaurants']",False,,Pasquarelli's Pizza House,False,False,,,,,,2,False,False,,,12,,PA,False,,False,False,True,"824 Chartiers Ave
Mc Kees Rocks, PA 15136",,,False,,,False,,,False,True,,,True,Mc Kees Rocks,,,4.0,,business,,False,40.4660133,False,,-80.0653055,,,,,True,False,,,,,False,,False,,,,,,quiet,,casual,,True,[],,False,,False
False,,,,,,,,,False,False,none,False,,True,T49ZvBa6mD4xHSmjHe-ArA,False,,,False,"['Pizza', 'Restaurants']",False,,R & B's Pizza Place,False,False,,,,,,1,False,False,,,14,,PA,True,,False,False,True,"421 Lincoln Ave
Bellevue
Bellvue, PA 15202",,,False,,,False,,,False,True,,no,True,Bellvue,True,,4.0,,business,,False,40.4941577,True,,-80.0532928,,,,,True,False,,,,,False,,False,,,,,,average,,casual,,False,['Bellevue'],,False,,False
False,,,,,,,,,False,False,none,False,,False,eOv0Dbq2E8sd0CKMAqTImw,False,,,False,"['Pizza', 'Restaurants']",True,,Luigi's Pizzeria,True,False,,,,,,2,False,False,,,17,,PA,True,,False,False,True,"531 Lincoln Ave
Bellevue
Bellevue, PA 15202",,,False,,,False,,,False,True,,,True,Bellevue,,,4.0,,business,,False,40.495887,False,,-80.056877,,,,,True,False,,,,,False,,True,,,,,,average,,casual,,True,['Bellevue'],,False,,False
False,,,,,,,,,False,False,none,False,,False,_jsJFrAmFVPRio0eEVExbA,False,,,False,"['Burgers', 'Fast Food', 'Restaurants']",False,,McDonald's,False,False,,,,,,1,False,False,,,6,,PA,True,,False,False,True,"4557 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202",,,False,,,False,,,False,False,,free,True,Pittsburgh,,,2.0,,business,False,False,40.492067,False,,-80.06235,,,,,True,False,,,,,False,,False,,,True,,,average,,casual,,True,['Bellevue'],,False,,False
False,,,,,,,,,False,False,none,False,,False,Lml0-yTNsMYsP9IrSMxw9A,False,,,False,"['Chinese', 'Restaurants']",False,,China Sea Chinese Restaurant,False,False,,,,,,1,False,False,,,9,,PA,True,,False,False,True,"610 Lincoln Ave
Bellevue
Bellevue, PA 15202",,,False,,,False,,,False,True,,no,True,Bellevue,,,3.0,,business,False,False,40.4972056,False,,-80.0583585,,,,,True,False,,,,,False,,False,,,,,,average,,casual,,True,['Bellevue'],,False,,False
False,,,,,,,,,,False,none,False,,False,JX2gDf2uy2UGuKPpcKT-IA,False,,,,"['Burgers', 'Fast Food', 'Restaurants']",False,,Wendy's,False,False,,,,,,1,,False,,,4,,PA,True,,,False,True,"1015 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202",,,,,,False,,,False,False,,,True,Pittsburgh,,,1.5,,business,False,False,40.4940896,,,-80.0635357,,,,,True,False,,,,,False,,False,,,True,,,average,,casual,,True,['Bellevue'],,False,,False
,,,17:30,,,,,17:30,False,False,none,,,False,QVZBd_eu0oJ4IN0md2XPTQ,,,,False,"['Restaurants', 'Italian']",True,,Vivo,True,,,,,,,4,False,False,,,4,,PA,True,21:30,False,False,False,"565 Lincoln Ave
Bellevue
Bellevue, PA 15202",21:30,,False,,,True,17:30,,,False,21:30,,False,Bellevue,True,,5.0,,business,,,40.4964326,False,,-80.057809,,,,21:30,False,False,,,,,,,,,,,,17:30,,,dressy,,True,['Bellevue'],,,,
False,,,08:00,False,,,,08:00,False,False,none,False,,False,ucKQlQvOeJxETLNkpKcaSw,False,,08:00,True,"['American (Traditional)', 'Restaurants']",True,08:00,Rusty Nail,True,False,,,,,,1,False,False,,,24,,PA,False,21:00,False,False,True,"560 Lincoln Ave
Bellevue
Bellevue, PA 15202",21:00,,False,,,False,08:00,,False,False,21:00,no,True,Bellevue,,,3.5,,business,True,False,40.4966408,False,,-80.057381,21:00,,21:00,21:00,True,False,08:00,,,,True,21:00,True,,,,,08:00,average,,casual,,True,['Bellevue'],,False,,False
,,,,,,,,,False,False,,,,False,OcTG-KzDleuRub-pb6JS3Q,,,,False,"['Pizza', 'Restaurants']",,,Eddie's Pizza Haus,False,,,,,,,1,False,False,,,5,,PA,True,,False,False,True,"1744 Chislett St
Morningside
Pittsburgh, PA 15206",,,False,,,False,,,,True,,,True,Pittsburgh,,,4.0,,business,,,40.4852544,False,,-79.9259754,,,,,True,False,,,,,,,,,,,,,,,casual,,True,['Morningside'],,,,
False,,,11:30,,,,,11:30,False,False,none,False,,True,Y2p07YEC8xOsYTHWf0UxiA,False,,17:00,False,"['Chinese', 'Restaurants']",True,17:00,Tasty Chinese Restaurant,False,False,,,,,,1,False,False,,,21,,PA,True,21:30,True,False,True,"213 S Highland Ave
Shadyside
Pittsburgh, PA 15206",21:30,,False,,,False,11:30,,False,True,21:30,no,True,Pittsburgh,,,2.5,,business,True,False,40.458497,False,,-79.9246661,21:30,,21:30,22:00,True,False,11:30,,,,False,21:30,False,,,,,11:30,quiet,,casual,,True,['Shadyside'],,False,,
False,,,,,,,,,False,False,none,False,,True,UtWJ8NGMg-3z28s0RzlUoQ,False,,,False,"['Chinese', 'Restaurants']",True,,China Garden,False,False,,,,,,1,False,False,,,14,,PA,True,,True,False,True,"6393 Penn Ave
Shadyside
Pittsburgh, PA 15206",,,False,,,False,,,False,False,,no,True,Pittsburgh,,,3.0,,business,False,False,40.4579893,False,,-79.9181411,,,,,True,False,,,,,False,,False,,,,,,quiet,,casual,,False,['Shadyside'],,False,,False
,,,06:00,,,,,06:00,False,False,none,,,False,bZcqORBnVApUA2-SEn7VEQ,,,06:00,False,"['Burgers', 'Fast Food', 'Restaurants']",False,06:00,McDonald's,False,,,,,,,1,True,False,,,6,,PA,True,23:00,False,False,True,"6361 Penn Ave
East Liberty
Pittsburgh, PA 15206",23:00,,False,,,False,06:00,,,False,23:00,free,True,Pittsburgh,True,,2.0,,business,,,40.4588455683,False,,-79.9184470786,23:00,,23:00,23:00,True,False,06:00,,,,False,23:00,,,,True,,06:00,,,casual,,True,['East Liberty'],,,,
False,,,10:00,,,,,10:00,False,False,none,False,,True,B9C6j80ob0f1pwi1Cnnd1Q,False,,10:00,False,"['Pizza', 'Restaurants']",False,10:00,Pizza Parma,True,False,,,,,,2,False,False,,,29,,PA,True,02:00,False,False,True,"217 S Highland Ave
Shadyside
Pittsburgh, PA 15206",01:00,,False,,,False,10:00,,False,True,01:00,no,True,Pittsburgh,True,,3.0,,business,True,False,40.4582251,True,,-79.9251182,01:00,,01:00,02:00,True,False,10:00,,,,False,01:00,True,,,,,10:00,quiet,,casual,,True,['Shadyside'],,False,,False
,,,,,,,,,False,False,full_bar,,,False,tvXTHj9V5sgRoeVJW_FiTg,,,,False,"['Chinese', 'Restaurants']",True,,Jimmy Tsang's Chinese Restaurant,True,,,,,,,2,False,False,,,12,,PA,True,,False,False,True,"5700 Centre Ave
Shadyside
Pittsburgh, PA 15206",,,False,,,True,,,,True,,,False,Pittsburgh,True,,3.0,,business,,,40.4571291,True,,-79.9334864,,,,,True,False,,,,,,,,,,,,,,,casual,,True,['Shadyside'],,,,
False,,,11:00,,,,,11:00,True,False,none,False,,False,lHP5STO7aomlEQixH8m1aA,False,,11:00,False,"['Pizza', 'Restaurants']",False,11:00,Pizza Perfectta,True,False,,,,,,2,False,False,,,60,,PA,True,01:00,False,False,True,"258 S Highland Ave
Shadyside
Pittsburgh, PA 15206",02:00,,False,,,False,11:00,,False,True,00:00,no,True,Pittsburgh,True,,4.0,,business,False,False,40.4572561,True,,-79.9253542,00:00,,00:00,00:00,True,False,11:00,,,,False,00:00,True,,,,,11:00,average,,casual,,False,['Shadyside'],,False,,False
,,,11:00,,,,,11:00,,,,,,False,W7-Ybhe6JWJFXjcbmgvdyA,,,11:00,,"['Chinese', 'Restaurants']",,11:00,Great Wall Chinese Food,False,,,,,,,1,,False,,,3,,PA,True,23:00,,False,True,"243 Brownsville Rd
Mt. Oliver
Pittsburgh, PA 15210",22:30,,,,,True,11:00,,,True,22:30,,True,Pittsburgh,,,3.0,,business,,,40.4146974,,,-79.9876465,22:30,,22:30,23:00,,False,12:00,,,,,22:00,,,,,,11:00,average,,,,,['Mt. Oliver'],,,,
False,,,16:30,,,,,16:30,False,True,full_bar,True,,False,qUeBDN0D8SC93KeAHhiL-g,False,,16:30,False,"['Restaurants', 'Italian']",True,16:30,Alla Famiglia,False,False,,,,,,4,False,False,,,101,,PA,True,00:00,False,True,False,"804 E Warrington Ave
Allentown
Pittsburgh, PA 15210",22:00,,False,,,True,16:30,,False,False,22:00,no,True,Pittsburgh,True,,4.5,,business,True,True,40.4216133,True,,-79.9934293,22:00,,22:00,00:00,False,False,,,,,False,,False,,,,,16:30,average,,dressy,,True,['Allentown'],,True,,False
,,,,,,,,,False,,,,,False,YXuvFMtygHPFEOEXgRtgLQ,,,,False,"['Chinese', 'Restaurants']",,,No 1 China House,False,,,,,,,1,False,False,,,5,,PA,True,,False,False,True,"823 E Warrington Ave
Allentown
Pittsburgh, PA 15210",,,False,,,,,,,True,,no,True,Pittsburgh,,,2.5,,business,,,40.4218885,False,,-79.992839,,,,,,False,,,,,,,,,,,,,,,,,,['Allentown'],,,,
False,,,,,,,,,False,False,none,False,,False,LltDzuzRbAJbSrqD4JH-3A,False,,,False,"['Chinese', 'Restaurants']",False,,Hunan Wok Chinese Takeout,False,False,,,,,,2,False,False,,,8,,PA,True,,True,False,True,"2158 Brownsville Rd
Carrick
Pittsburgh, PA 15210",,,False,,,False,,,False,False,,no,True,Pittsburgh,,,2.5,,business,False,False,40.3919558,True,,-79.9874081,,,,,False,False,,,,,False,,True,,,,,,quiet,,casual,,False,['Carrick'],,False,,False
False,,,,,,,,,False,False,none,False,,False,Ga0y-XHa4os_VvoHz21bfQ,False,,,False,"['Pizza', 'Restaurants']",True,,Anthony's Pizza,False,False,,,,,,2,False,False,,,7,,PA,True,,False,False,True,"1820 Brownsville Rd
Carrick
Pittsburgh, PA 15210",,,False,,,False,,,False,True,,no,True,Pittsburgh,,,3.5,,business,False,False,40.396531,False,,-79.987919,,,,,True,False,,,,,True,,False,,,,,,average,,formal,,True,['Carrick'],,False,,False
False,,,11:00,,,,,11:00,False,False,,False,,False,TyIsuojeKcTb4Acfg7xqew,False,,11:00,False,"['Chinese', 'Restaurants']",,11:00,China Taste,False,False,,,,,,1,False,False,,,12,,PA,True,23:30,False,False,True,"630 E Ohio St
North Side
Pittsburgh, PA 15212",22:30,,False,,,False,11:00,,False,False,22:30,,True,Pittsburgh,,,4.0,,business,,False,40.4541341,False,,-79.9981189,22:30,,22:30,23:30,True,False,12:00,,,,False,22:30,False,,,,,11:00,quiet,,casual,,False,['North Side'],,False,,False
,,,,,,,,,,,none,,,,-nO_qj9eP-os3baYyh8eNA,,,,,"['Pizza', 'Restaurants']",,,Pasta Too,,,,,,,,,,,,,4,,PA,,,,,,"1106 Federal St
North Side
Pittsburgh, PA 15212",,,,,,,,,,,,,True,Pittsburgh,,,4.0,,business,False,,40.455833,,,-80.006512,,,,,,,,,,,,,,,,,,,quiet,,,,,['North Side'],,,,
False,,,,,,,,,False,False,none,False,,False,CqHTknOJHZZncWzGtpbNsA,False,,,False,"['Pizza', 'Restaurants']",False,,Ron's Pizza Palace,False,False,,,,,,1,False,False,,,5,,PA,True,,True,False,True,"1535 Lowrie St
Troy Hill
Pittsburgh, PA 15212",,,False,,,False,,,False,True,,no,True,Pittsburgh,,,2.5,,business,False,False,40.4620001,True,,-79.9838764,,,,,True,False,,,,,False,,False,,,,,,quiet,,,,False,['Troy Hill'],,False,,False
False,,,11:00,,,,True,11:00,False,True,none,False,,False,q_BKmbdlYfQJroJVHfYMUQ,False,,11:00,False,"['Restaurants', 'Italian']",True,11:00,Legends North Shore,True,False,yes_free,,,,,2,False,False,,,83,,PA,True,21:30,False,False,True,"500 E N Ave
North Side
Pittsburgh, PA 15212",21:00,,False,,,True,16:00,,False,True,21:00,no,True,Pittsburgh,True,,4.0,,business,True,False,40.4566092,True,,-80.0015054,20:00,,21:00,21:30,True,False,,,,,True,,True,,,,,11:00,loud,,casual,,True,['North Side'],,False,,False
True,,,10:00,,,,,10:00,False,False,none,False,,False,Eixtf79t1_ZKaC-7J2kAWg,False,,10:00,False,"['Pizza', 'Restaurants']",True,10:00,Pickles Pizza & Sandwich Emporium,True,False,,,,,,1,False,False,,,14,,PA,True,23:00,True,False,True,"424 E Ohio St
North Side
Pittsburgh, PA 15212",23:00,,False,,,False,10:00,,False,True,23:00,no,True,Pittsburgh,,,3.5,,business,False,False,40.4535915,False,,-80.0008071,23:00,,23:00,23:00,True,False,12:00,,,,False,22:00,False,,,,,10:00,average,,casual,,False,['North Side'],,False,,False
False,,,,,,,,,,False,none,False,,False,yfuoL_w76WFVHcGJbw0IIg,False,,,,"['Pizza', 'Restaurants']",False,,Nick's Place,False,False,,,,,,2,,False,,,8,,PA,True,,,False,True,"1276 Benton Ave
Brighton Heights
Pittsburgh, PA 15212",,,,,,False,,,False,True,,no,True,Pittsburgh,,,3.5,,business,,False,40.484693,,,-80.0355244,,,,,False,False,,,,,False,,False,,,,,,quiet,,casual,,False,['Brighton Heights'],,False,,False
False,,,,,,,,,,False,,False,,,AAcw9y30cRuMo0oa8UBiIw,False,,,,"['Pizza', 'Restaurants']",,,Wiseguys Pizza,,False,,,,,,2,,,,,7,,PA,True,,,,True,"1223 Woods Run Ave
North Side
Pittsburgh, PA 15212",,,,,,True,,,False,True,,,True,Pittsburgh,,,3.5,,business,,False,40.4763098,,,-80.0311303,,,,,True,,,,,,False,,False,,,,,,,,casual,,True,['North Side'],,False,,False
True,,,11:00,,,,,11:00,False,False,none,False,,False,OIL-eZX8d10jgWPLW-E7zA,False,,11:00,False,"['Pizza', 'Restaurants']",True,11:00,Chubby's Pizza & Hoagies Northside,True,False,,,,,,1,False,False,,,11,,PA,True,01:00,True,False,True,"3627 California Ave
Brighton Heights
Pittsburgh, PA 15212",00:00,,False,,,False,11:00,,False,True,00:00,no,True,Pittsburgh,False,,3.0,,business,False,False,40.4810675,True,,-80.0413982,23:00,,23:00,01:00,True,False,12:00,,,,True,23:00,False,,,,,11:00,loud,,casual,,False,['Brighton Heights'],,False,,False
,,,11:00,,,,,11:00,,False,none,,,,81sqVj0xHyJXGYT0ip5fmQ,,,11:00,,"['Chinese', 'Restaurants']",False,11:00,Green Garden,,,,,,,,2,,,,,9,,PA,True,23:00,,,True,"300 Beverly Rd
Pittsburgh, PA 15216",22:00,,,,,False,11:00,,,True,22:00,no,True,Pittsburgh,,,2.5,,business,,,40.38892,,,-80.049921,22:00,,22:00,23:00,True,,12:00,,,,False,21:30,,,,,,11:00,quiet,,,,True,[],,,,
False,,,11:00,,,,,11:00,False,False,none,False,,True,93UCt9OgWYmypZCpXtUu8g,False,,11:00,False,"['Pizza', 'Restaurants']",False,11:00,Beto's Pizza,False,False,no,,,,,1,False,False,,,127,,PA,True,00:30,True,False,True,"1473 Banksville Rd
Banksville
Pittsburgh, PA 15216",00:30,,False,,,False,11:00,,False,False,00:30,no,True,Pittsburgh,False,,4.0,,business,False,False,40.4127159,True,,-80.0303354,00:30,,00:30,00:30,True,False,11:00,,,,False,00:30,True,,,,,11:00,average,,casual,,True,"['Banksville', 'Beechview']",,False,,False
False,,,11:00,,,,,11:00,False,False,none,False,,False,Cex2R008tMFg8R5fAtf77w,False,,11:00,False,"['Pizza', 'Restaurants']",False,11:00,Campiti's Don Pizzeria,True,False,,,,,,1,False,False,,,31,,PA,True,00:00,False,False,True,"1509 Potomac Ave
Dormont
Pittsburgh, PA 15216",23:00,,False,,,False,11:00,,False,False,23:00,free,True,Pittsburgh,True,,3.5,,business,False,False,40.3966306,True,,-80.0357966,23:00,,23:00,23:00,True,False,11:00,,,,True,21:00,True,,,,,11:00,average,,casual,,True,['Dormont'],,False,,False
False,,,,,,,,,,,,False,,,Tb7hQ37UFA2QFaMwjFieQw,False,,,,"['Fast Food', 'Restaurants']",,,Arby's,,False,,,,,,,,,,,6,,PA,True,,,,True,"1378 Banksville Rd
Banksville
Pittsburgh, PA 15216",,,,,,False,,,False,False,,,True,Pittsburgh,,,2.5,,business,False,False,40.414716,,,-80.03063,,,,,True,,,,,,,,False,,,,,,,,,,True,['Banksville'],,False,,False
,,,,,,,,,True,,,,,False,iudRNo5Q8W7firUBYJEqQQ,,,,False,"['Pizza', 'Restaurants']",,,Little Nipper's Pizza,False,,,,,,,2,False,False,,,11,,PA,True,,False,False,True,"303 Beverly Rd
Pittsburgh, PA 15216",,,False,,,,,,,True,,,False,Pittsburgh,,,2.5,,business,,,40.388527,False,,-80.0495449,,,,,,False,,,,,,,,,,,,,,,,,True,[],,,,
